Munic�pio de resid�ncia,Em branco/IGN,<1 Ano,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80 e +,Total
110110 ITAPUA DO OESTE,-,1,-,6,13,16,69,53,7,6,6,1,178
110120 MINISTRO ANDREAZZA,-,-,1,3,3,3,13,12,4,1,-,1,41
110130 MIRANTE DA SERRA,1,1,1,8,10,12,29,23,2,2,-,2,91
110140 MONTE NEGRO,-,3,4,14,21,16,59,43,4,4,5,4,177
110143 NOVA UNIAO,-,-,-,2,-,2,3,1,1,-,-,-,9
110145 PARECIS,-,2,2,2,4,4,29,21,4,1,-,1,70
110146 PIMENTEIRAS DO OESTE,-,1,2,2,3,2,18,14,2,2,-,-,46
110147 PRIMAVERA DE RONDONIA,-,2,1,6,6,11,36,37,4,3,1,-,107
110148 SAO FELIPE D'OESTE,-,1,2,4,7,3,20,20,3,5,2,-,67
110149 SAO FRANCISCO DO GUAPORE,-,2,2,8,24,9,35,22,3,5,-,3,113
110150 SERINGUEIRAS,-,-,1,3,5,4,17,10,2,1,-,-,43
110155 TEIXEIROPOLIS,-,-,-,1,2,-,-,2,-,1,-,1,7
110160 THEOBROMA,-,1,1,2,6,4,22,35,8,2,6,2,89
110170 URUPA,-,-,3,-,3,1,11,2,-,-,-,1,21
110175 VALE DO ANARI,-,2,4,-,12,9,32,18,4,3,6,1,91
110180 VALE DO PARAISO,-,-,3,3,7,3,16,20,-,2,1,5,60
120001 ACRELANDIA,-,-,1,2,5,9,21,8,1,1,2,-,50
120005 ASSIS BRASIL,-,2,3,33,48,63,219,134,23,11,15,1,552
120010 BRASILEIA,-,7,10,33,41,86,367,140,9,6,13,4,716
120013 BUJARI,-,2,4,4,10,21,94,69,6,9,6,-,225
120017 CAPIXABA,-,3,5,10,25,28,123,62,11,9,1,2,279
120020 CRUZEIRO DO SUL,-,13,27,45,49,50,278,215,32,16,20,6,751
120025 EPITACIOLANDIA,1,6,12,16,19,48,184,74,13,8,10,2,393
120030 FEIJO,-,20,31,40,66,100,327,161,17,11,19,5,797
120032 JORDAO,-,1,-,-,-,-,2,-,-,-,-,-,3
120033 MANCIO LIMA,2,2,9,14,29,34,121,75,4,5,6,1,302
120034 MANOEL URBANO,-,1,3,6,11,13,47,29,1,4,3,-,118
120035 MARECHAL THAUMATURGO,-,1,4,1,2,2,16,4,3,2,1,-,36
120038 PLACIDO DE CASTRO,-,-,3,4,11,9,43,39,7,2,4,1,123
120039 PORTO WALTER,-,2,1,5,5,10,32,28,2,4,4,1,94
120040 RIO BRANCO,-,18,14,46,105,95,544,298,52,17,32,18,1239
120042 RODRIGUES ALVES,-,2,2,10,12,18,63,30,2,3,4,-,146
120043 SANTA ROSA DO PURUS,-,1,-,-,-,-,4,-,-,-,-,-,5
120045 SENADOR GUIOMARD,-,3,-,-,5,2,8,9,2,-,-,2,31
120050 SENA MADUREIRA,-,11,15,28,54,74,219,121,18,12,18,2,572
120060 TARAUACA,-,7,15,21,28,34,150,81,4,6,6,2,354
120070 XAPURI,-,4,6,9,12,17,72,36,5,6,1,-,168
120080 PORTO ACRE,1,3,5,8,8,25,76,45,13,4,4,2,194
130002 ALVARAES,-,7,5,14,16,19,91,53,12,9,6,5,237
130006 AMATURA,-,-,-,-,-,-,1,-,-,-,-,-,1
130014 APUI,-,-,-,-,-,-,6,1,1,-,-,-,8
130020 ATALAIA DO NORTE,-,-,-,1,1,2,4,10,-,-,-,-,18
130040 BARCELOS,-,-,1,4,2,1,6,3,-,-,-,-,17
130060 BENJAMIN CONSTANT,-,1,-,5,7,11,37,21,2,1,3,1,89
130063 BERURI,-,-,-,1,1,-,-,-,-,-,-,-,2
130070 BOCA DO ACRE,-,-,1,1,1,1,8,7,-,-,-,-,19
130080 BORBA,-,2,2,1,6,5,16,6,1,-,1,2,42
130083 CAAPIRANGA,-,-,-,-,-,1,-,-,-,-,-,-,1
130100 CARAUARI,-,-,-,-,1,-,-,-,-,-,1,-,2
130110 CAREIRO,-,-,-,-,-,-,5,-,-,-,-,-,5
130120 COARI,-,1,2,7,9,13,41,33,3,6,6,2,123
130130 CODAJAS,-,-,1,8,1,1,4,13,1,1,1,-,31
130140 EIRUNEPE,-,-,-,1,-,-,3,1,-,1,-,-,6
130150 ENVIRA,-,-,-,-,-,-,2,3,-,-,-,-,5
130165 GUAJARA,-,-,1,4,1,8,21,8,3,-,1,1,48
130170 HUMAITA,-,-,4,8,22,27,105,76,13,9,7,3,274
130180 IPIXUNA,-,12,27,25,34,43,171,98,13,13,19,5,460
130185 IRANDUBA,-,1,3,8,10,13,29,32,2,1,-,-,99
130190 ITACOATIARA,-,-,-,-,-,1,2,2,1,-,-,-,6
130210 JAPURA,-,12,8,16,21,18,118,66,16,4,8,4,291
130230 JUTAI,-,14,44,56,59,64,260,147,23,14,13,4,698
130240 LABREA,-,11,14,29,38,58,224,151,24,23,27,14,613
130250 MANACAPURU,-,1,-,2,2,3,11,8,2,-,1,-,30
130255 MANAQUIRI,-,-,-,-,1,-,-,-,-,-,-,-,1
130260 MANAUS,-,51,83,107,134,95,407,217,38,17,16,2,1167
130270 MANICORE,-,1,2,3,7,3,42,28,3,4,5,-,98
130280 MARAA,-,2,3,7,1,15,52,25,2,2,2,3,114
130290 MAUES,-,1,6,1,2,9,27,20,1,1,2,-,70
130310 NOVA OLINDA DO NORTE,-,-,-,-,-,1,-,-,-,-,-,-,1
130320 NOVO AIRAO,-,-,-,-,-,1,-,-,1,-,-,-,2
130330 NOVO ARIPUANA,-,1,-,-,-,-,1,1,-,-,-,-,3
130340 PARINTINS,-,1,-,-,-,1,2,1,-,-,-,-,5
130350 PAUINI,-,-,1,-,-,-,1,1,-,-,-,-,3
130353 PRESIDENTE FIGUEIREDO,-,-,-,3,1,-,6,3,-,-,-,-,13
130356 RIO PRETO DA EVA,-,1,2,3,-,-,7,2,1,-,1,-,17
130360 SANTA ISABEL DO RIO NEGRO,-,-,-,-,-,-,-,1,-,-,-,-,1
130370 SANTO ANTONIO DO ICA,-,-,-,1,4,2,13,7,-,-,-,-,27
130380 SAO GABRIEL DA CACHOEIRA,-,-,-,-,-,1,1,1,1,-,-,-,4
130390 SAO PAULO DE OLIVENCA,-,1,4,8,11,15,57,45,5,3,6,4,159
130395 SAO SEBASTIAO DO UATUMA,-,-,-,-,-,1,-,-,-,-,-,-,1
130406 TABATINGA,-,-,3,8,10,11,67,32,2,2,2,2,139
130410 TAPAUA,-,6,12,6,22,10,57,29,4,5,3,1,155
130420 TEFE,-,10,21,38,86,113,351,181,21,8,18,9,856
130423 TONANTINS,-,3,11,19,22,32,166,92,12,7,10,4,378
130426 UARINI,-,-,-,-,1,1,6,3,1,-,-,-,12
130430 URUCARA,-,-,-,-,-,-,1,-,-,-,-,-,1
140002 AMAJARI,-,-,-,-,-,-,-,1,-,-,-,-,1
140005 ALTO ALEGRE,-,-,-,-,-,-,-,-,-,-,1,-,1
140010 BOA VISTA,-,2,3,5,6,4,19,16,4,1,1,-,61
140015 BONFIM,-,2,6,10,18,5,36,10,-,2,1,1,91
140017 CANTA,-,-,3,-,-,1,4,4,1,1,2,-,16
140020 CARACARAI,-,-,-,1,-,-,3,2,1,1,-,-,8
140023 CAROEBE,-,-,1,-,1,-,-,-,-,-,-,-,2
140028 IRACEMA,-,2,3,1,-,2,7,5,1,1,-,-,22
140030 MUCAJAI,-,-,-,-,-,-,4,1,1,-,-,-,6
140040 NORMANDIA,-,-,-,-,-,-,-,1,-,-,-,-,1
140045 PACARAIMA,-,-,-,-,1,1,1,2,-,-,-,-,5
140047 RORAINOPOLIS,-,-,-,-,1,2,7,5,-,2,1,-,18
140050 SAO JOAO DA BALIZA,-,-,-,-,-,-,-,-,-,1,-,-,1
150010 ABAETETUBA,-,-,1,1,2,3,13,5,-,1,-,-,26
150013 ABEL FIGUEIREDO,-,1,-,2,2,2,1,1,1,-,-,-,10
150020 ACARA,-,-,-,4,2,4,16,7,-,1,-,-,34
150030 AFUA,-,1,3,5,14,30,93,65,7,2,9,-,229
150034 AGUA AZUL DO NORTE,-,3,10,10,12,18,45,17,2,4,1,2,124
150040 ALENQUER,-,-,1,1,-,-,-,1,-,-,-,-,3
150050 ALMEIRIM,-,-,-,-,-,-,1,2,-,-,-,-,3
150060 ALTAMIRA,-,7,23,32,27,36,126,69,6,9,3,2,340
150070 ANAJAS,-,-,1,-,-,1,1,-,-,2,-,-,5
150080 ANANINDEUA,-,-,1,3,7,3,28,15,3,1,1,-,62
150085 ANAPU,-,-,-,1,-,2,11,5,-,1,-,-,20
150090 AUGUSTO CORREA,-,-,-,-,-,-,1,2,-,1,-,-,4
150095 AURORA DO PARA,-,1,3,6,8,8,29,21,6,4,4,1,91
150110 BAGRE,-,-,-,1,-,2,3,3,-,-,-,-,9
150120 BAIAO,-,-,-,-,1,-,3,-,-,1,-,-,5
150125 BANNACH,-,-,1,2,2,2,10,5,1,2,1,-,26
150130 BARCARENA,-,-,1,-,2,-,2,1,-,-,-,-,6
150140 BELEM,-,3,11,33,53,66,208,123,15,8,4,4,528
150145 BELTERRA,-,-,1,-,-,-,2,4,-,-,-,-,7
150150 BENEVIDES,-,2,1,6,3,10,22,12,3,-,-,-,59
150157 BOM JESUS DO TOCANTINS,-,-,-,1,-,2,2,2,-,-,-,-,7
150170 BRAGANCA,-,-,1,-,1,1,5,2,-,-,-,-,10
150172 BRASIL NOVO,-,-,-,1,1,-,1,3,-,-,1,-,7
150175 BREJO GRANDE DO ARAGUAIA,-,-,-,-,-,1,1,3,-,1,-,-,6
150178 BREU BRANCO,-,-,-,-,-,1,4,1,-,-,-,-,6
150180 BREVES,-,-,2,4,4,6,12,18,-,1,-,-,47
150190 BUJARU,-,-,-,1,-,-,-,-,-,-,-,-,1
150200 CACHOEIRA DO ARARI,-,-,-,-,-,-,1,-,-,-,-,-,1
150210 CAMETA,-,-,1,11,18,24,68,34,6,1,2,-,165
150215 CANAA DOS CARAJAS,-,7,9,15,16,13,39,23,2,2,1,-,127
150220 CAPANEMA,-,-,1,1,8,2,17,8,1,1,-,-,39
150230 CAPITAO POCO,-,2,1,1,-,1,8,5,-,1,2,-,21
150240 CASTANHAL,-,2,5,10,25,20,54,22,1,1,-,-,140
150260 COLARES,-,-,-,-,-,-,3,1,-,-,-,-,4
150270 CONCEICAO DO ARAGUAIA,-,8,2,11,6,9,46,31,4,4,1,1,123
150275 CONCORDIA DO PARA,-,-,1,1,-,-,1,-,-,-,-,-,3
150276 CUMARU DO NORTE,-,4,6,12,9,3,45,22,2,2,3,-,108
150277 CURIONOPOLIS,-,-,-,-,-,-,1,-,-,-,-,-,1
150290 CURUCA,-,1,1,-,1,-,3,1,-,-,-,-,7
150293 DOM ELISEU,-,-,-,-,2,1,2,7,-,-,-,-,12
150295 ELDORADO DOS CARAJAS,-,1,1,1,-,-,3,1,1,-,-,-,8
150304 FLORESTA DO ARAGUAIA,-,2,5,6,12,8,42,24,2,5,1,-,107
150307 GARRAFAO DO NORTE,-,-,-,-,-,-,-,1,-,-,-,-,1
150309 GOIANESIA DO PARA,-,-,-,-,1,2,2,2,1,-,-,-,8
150310 GURUPA,-,-,-,-,1,-,-,-,-,-,1,-,2
150320 IGARAPE-ACU,-,-,-,-,10,5,14,14,1,1,-,-,45
150330 IGARAPE-MIRI,-,-,-,-,-,1,5,1,1,-,-,-,8
150340 INHANGAPI,-,-,-,-,1,-,3,-,-,1,-,-,5
150345 IPIXUNA DO PARA,-,-,1,2,3,6,9,10,1,-,-,-,32
150350 IRITUIA,-,-,-,1,1,2,4,-,-,-,-,-,8
150360 ITAITUBA,-,3,-,1,-,-,2,2,2,-,2,-,12
150370 ITUPIRANGA,-,2,2,16,27,25,56,33,3,-,4,-,168
150375 JACAREACANGA,-,-,-,-,-,1,1,-,-,-,1,-,3
150380 JACUNDA,-,4,11,26,24,22,45,29,3,3,5,-,172
150390 JURUTI,-,-,-,-,1,-,2,1,-,-,-,-,4
150400 LIMOEIRO DO AJURU,-,-,-,-,1,-,4,-,-,-,-,-,5
150405 MAE DO RIO,-,3,1,-,1,8,5,8,-,-,-,-,26
150410 MAGALHAES BARATA,-,1,1,-,4,3,9,7,-,-,2,-,27
150420 MARABA,-,-,3,4,6,2,7,2,-,-,-,-,24
150430 MARACANA,-,-,-,1,-,-,3,3,-,-,-,-,7
150440 MARAPANIM,-,-,-,-,-,-,3,3,-,-,-,-,6
150442 MARITUBA,-,-,1,2,4,-,7,10,-,-,-,-,24
150445 MEDICILANDIA,-,-,1,2,-,2,4,6,-,-,-,-,15
150450 MELGACO,-,-,-,-,-,1,2,-,-,-,-,-,3
150460 MOCAJUBA,-,-,-,-,-,-,3,1,-,-,-,-,4
150470 MOJU,-,1,-,1,1,-,5,7,-,-,-,-,15
150475 MOJUI DOS CAMPOS,-,-,-,-,-,1,8,1,1,-,-,-,11
150480 MONTE ALEGRE,-,-,-,1,5,21,33,36,3,3,2,4,108
150490 MUANA,-,1,-,-,2,-,6,2,-,-,-,-,11
150495 NOVA ESPERANCA DO PIRIA,-,1,-,-,-,-,1,-,-,-,-,-,2
150497 NOVA IPIXUNA,-,-,-,-,-,-,3,1,-,-,-,-,4
150500 NOVA TIMBOTEUA,-,-,-,-,1,-,-,-,-,-,-,-,1
150503 NOVO PROGRESSO,-,3,2,11,5,10,48,28,2,3,1,-,113
150506 NOVO REPARTIMENTO,-,3,1,5,9,10,25,15,4,-,-,1,73
150510 OBIDOS,-,-,-,1,1,1,3,-,1,-,-,-,7
150520 OEIRAS DO PARA,-,-,-,-,1,2,5,1,-,-,-,-,9
150530 ORIXIMINA,-,1,1,-,-,1,5,1,1,-,-,-,10
150540 OUREM,-,-,-,-,1,-,1,-,-,-,-,-,2
150543 OURILANDIA DO NORTE,-,1,-,1,1,-,3,-,-,-,-,-,6
150548 PACAJA,-,-,-,2,1,1,6,2,-,-,-,-,12
150549 PALESTINA DO PARA,-,-,1,-,1,1,2,2,1,1,-,-,9
150550 PARAGOMINAS,-,4,3,4,13,3,28,12,-,-,-,-,67
150553 PARAUAPEBAS,-,3,27,52,67,72,134,41,10,6,2,2,416
150555 PAU D'ARCO,-,1,4,10,7,4,8,8,3,3,4,2,54
150560 PEIXE-BOI,-,-,-,1,1,2,3,2,-,-,-,-,9
150563 PICARRA,-,-,1,-,-,3,2,1,-,-,-,-,7
150565 PLACAS,-,-,-,-,1,-,-,1,1,-,-,-,3
150570 PONTA DE PEDRAS,-,-,1,-,-,1,1,1,-,-,1,-,5
150580 PORTEL,-,-,1,-,-,1,1,1,-,-,-,-,4
150590 PORTO DE MOZ,-,-,-,-,-,-,-,2,-,-,-,-,2
150600 PRAINHA,-,-,-,1,6,8,20,16,-,-,1,-,52
150610 PRIMAVERA,-,-,-,1,-,-,1,-,-,-,-,-,2
150611 QUATIPURU,-,-,-,-,-,-,3,2,-,-,-,-,5
150613 REDENCAO,-,2,4,6,3,2,14,11,4,1,2,1,50
150616 RIO MARIA,-,-,6,2,7,8,34,22,5,4,2,3,93
150618 RONDON DO PARA,-,1,4,5,4,6,3,2,-,-,-,-,25
150619 RUROPOLIS,-,5,3,6,4,9,31,17,-,-,1,1,77
150620 SALINOPOLIS,-,1,1,1,2,3,19,9,1,-,-,-,37
150635 SANTA BARBARA DO PARA,-,-,-,1,-,2,3,2,-,-,-,-,8
150650 SANTA IZABEL DO PARA,-,-,2,10,13,18,56,40,3,2,1,1,146
150655 SANTA LUZIA DO PARA,-,1,1,-,2,2,17,5,1,-,1,-,30
150658 SANTA MARIA DAS BARREIRAS,-,-,-,-,-,1,-,1,-,-,-,-,2
150660 SANTA MARIA DO PARA,-,-,1,-,-,-,2,1,2,-,-,-,6
150670 SANTANA DO ARAGUAIA,-,-,2,2,1,3,13,7,1,3,1,3,36
150680 SANTAREM,-,3,-,7,4,2,26,6,-,1,-,-,49
150690 SANTAREM NOVO,-,-,-,-,-,-,1,-,-,-,-,-,1
150700 SANTO ANTONIO DO TAUA,-,-,-,-,-,-,1,1,-,-,-,-,2
150710 SAO CAETANO DE ODIVELAS,-,-,-,-,1,-,4,2,-,-,-,-,7
150715 SAO DOMINGOS DO ARAGUAIA,-,-,2,2,3,4,10,5,-,-,-,-,26
150720 SAO DOMINGOS DO CAPIM,-,-,1,-,1,4,10,8,-,2,-,-,26
150730 SAO FELIX DO XINGU,-,-,1,2,1,2,5,1,1,-,1,-,14
150740 SAO FRANCISCO DO PARA,-,-,-,1,-,-,2,-,-,-,-,-,3
150745 SAO GERALDO DO ARAGUAIA,-,-,2,-,-,-,2,2,-,-,-,-,6
150747 SAO JOAO DE PIRABAS,-,11,1,9,15,19,35,12,-,-,-,-,102
150750 SAO JOAO DO ARAGUAIA,-,1,3,5,5,12,39,25,7,-,5,2,104
150760 SAO MIGUEL DO GUAMA,-,-,-,-,-,-,8,1,-,-,-,-,9
150775 SAPUCAIA,-,1,-,2,-,-,5,1,-,-,-,1,10
150780 SENADOR JOSE PORFIRIO,-,1,2,1,7,9,25,14,1,1,1,-,62
150790 SOURE,-,-,-,-,2,4,5,4,-,-,-,-,15
150795 TAILANDIA,-,1,2,10,12,15,27,15,-,1,3,1,87
150796 TERRA ALTA,-,-,1,3,1,1,1,1,-,-,-,-,8
150800 TOME-ACU,-,1,3,6,20,14,50,15,2,1,1,1,114
150803 TRACUATEUA,-,1,-,2,-,1,5,1,1,-,-,-,11
150805 TRAIRAO,-,-,-,-,-,-,2,-,-,-,-,-,2
150808 TUCUMA,-,-,2,4,3,2,9,8,4,-,1,1,34
150810 TUCURUI,-,1,-,1,3,5,11,13,1,3,2,-,40
150812 ULIANOPOLIS,-,-,1,-,-,1,3,1,-,-,-,-,6
150815 URUARA,-,-,1,2,1,-,3,2,1,-,-,-,10
150830 VISEU,-,1,2,-,1,3,5,3,-,-,-,-,15
150835 VITORIA DO XINGU,-,2,9,16,15,20,62,52,8,3,4,-,191
150840 XINGUARA,-,4,6,13,19,32,116,46,4,2,1,1,244
160005 SERRA DO NAVIO,-,-,1,2,1,5,3,6,-,2,1,-,21
160010 AMAPA,-,1,-,-,-,-,-,-,-,-,-,-,1
160015 PEDRA BRANCA DO AMAPARI,-,3,4,10,12,4,33,19,1,1,1,-,88
160020 CALCOENE,-,-,-,1,-,-,2,1,-,-,-,-,4
160021 CUTIAS,-,-,-,-,-,-,1,-,-,-,-,-,1
160025 ITAUBAL,-,-,-,-,-,-,1,1,-,-,-,-,2
160027 LARANJAL DO JARI,-,1,5,21,27,34,126,95,18,5,4,2,338
160030 MACAPA,-,11,33,48,53,64,238,139,14,12,7,1,620
160040 MAZAGAO,-,-,-,1,-,-,-,1,-,-,-,-,2
160050 OIAPOQUE,-,1,2,10,16,13,28,7,2,-,2,-,81
160053 PORTO GRANDE,-,-,2,-,-,-,4,-,-,-,-,-,6
160060 SANTANA,-,3,5,6,5,3,22,9,3,-,1,1,58
160070 TARTARUGALZINHO,-,-,1,-,-,-,2,3,-,1,-,-,7
160080 VITORIA DO JARI,-,-,-,-,-,-,1,-,-,-,-,-,1
170025 ABREULANDIA,-,-,-,-,2,-,3,-,-,1,1,-,7
170030 AGUIARNOPOLIS,-,-,-,-,-,-,1,1,1,-,-,-,3
170035 ALIANCA DO TOCANTINS,-,-,-,-,2,-,3,2,-,-,-,-,7
170040 ALMAS,-,1,-,-,3,3,5,-,1,-,-,-,13
170070 ALVORADA,-,-,-,-,4,-,9,7,1,-,-,1,22
170100 ANANAS,-,1,-,-,-,-,2,1,-,-,-,-,4
170105 ANGICO,-,-,-,-,-,-,1,-,-,-,-,-,1
170110 APARECIDA DO RIO NEGRO,-,-,-,1,-,-,2,-,-,-,-,1,4
170190 ARAGUACEMA,-,1,2,-,-,-,-,-,-,1,-,-,4
170200 ARAGUACU,-,-,-,-,-,-,1,-,-,-,-,-,1
170210 ARAGUAINA,-,6,8,13,19,18,153,58,-,3,4,2,284
170215 ARAGUANA,-,-,-,-,-,-,1,-,-,-,-,-,1
170220 ARAGUATINS,-,-,-,1,1,2,6,2,-,1,1,-,14
170230 ARAPOEMA,-,-,2,-,3,1,11,5,1,2,-,-,25
170240 ARRAIAS,-,-,3,2,12,27,48,12,2,5,4,1,116
170255 AUGUSTINOPOLIS,-,-,1,3,2,1,7,6,-,-,-,-,20
170270 AURORA DO TOCANTINS,-,-,-,-,-,-,4,1,1,-,-,-,6
170290 AXIXA DO TOCANTINS,-,-,2,3,-,-,3,-,-,-,-,-,8
170300 BABACULANDIA,-,-,1,1,1,1,1,-,-,-,-,-,5
170305 BANDEIRANTES DO TOCANTINS,-,-,-,-,1,-,1,-,-,-,-,-,2
170307 BARRA DO OURO,-,-,-,1,1,-,2,-,-,-,-,-,4
170310 BARROLANDIA,-,-,6,4,7,5,22,15,2,2,1,1,65
170330 BOM JESUS DO TOCANTINS,-,1,-,-,-,-,-,-,-,-,-,-,1
170370 BREJINHO DE NAZARE,-,-,-,2,3,1,2,1,-,-,-,-,9
170380 BURITI DO TOCANTINS,-,-,-,2,1,-,-,-,-,-,-,-,3
170382 CACHOEIRINHA,-,-,-,1,1,1,5,4,-,-,-,1,13
170384 CAMPOS LINDOS,-,-,-,-,-,-,-,2,-,-,-,-,2
170386 CARIRI DO TOCANTINS,-,-,1,2,1,1,10,11,3,1,2,-,32
170388 CARMOLANDIA,-,-,1,2,2,-,1,2,-,-,-,-,8
170389 CARRASCO BONITO,-,-,1,2,-,-,-,-,-,-,-,-,3
170390 CASEARA,-,1,-,1,-,1,-,-,-,1,-,1,5
170510 CHAPADA DA NATIVIDADE,-,-,-,-,3,4,7,3,-,-,-,-,17
170550 COLINAS DO TOCANTINS,-,1,4,4,9,10,31,13,-,-,-,-,72
170555 COMBINADO,-,-,-,-,-,-,3,-,-,-,-,-,3
170560 CONCEICAO DO TOCANTINS,-,-,-,1,-,1,1,2,-,-,-,-,5
170600 COUTO MAGALHAES,-,-,-,-,1,-,-,-,-,-,-,-,1
170610 CRISTALANDIA,-,3,-,-,1,-,3,2,-,2,2,1,14
170625 CRIXAS DO TOCANTINS,-,-,-,-,-,1,1,3,-,-,1,-,6
170650 DARCINOPOLIS,-,-,-,-,-,-,-,1,-,-,-,-,1
170700 DIANOPOLIS,-,4,10,26,31,42,142,84,9,11,5,1,365
170710 DIVINOPOLIS DO TOCANTINS,-,-,-,-,-,-,1,1,-,1,-,-,3
170720 DOIS IRMAOS DO TOCANTINS,-,-,-,-,1,-,9,7,1,-,-,-,18
170740 ESPERANTINA,-,-,1,-,-,1,3,2,-,-,-,-,7
170755 FATIMA,-,1,-,1,-,-,1,-,-,1,-,-,4
170765 FIGUEIROPOLIS,-,-,-,-,-,1,-,5,-,1,-,-,7
170770 FILADELFIA,-,-,-,-,1,1,2,1,-,-,-,-,5
170820 FORMOSO DO ARAGUAIA,-,-,-,-,1,3,10,8,1,-,1,-,24
170830 GOIANORTE,-,-,-,-,-,-,-,-,-,1,-,-,1
170900 GOIATINS,-,-,-,-,1,1,5,3,-,-,1,-,11
170930 GUARAI,-,2,5,4,4,1,11,8,2,-,-,-,37
170950 GURUPI,-,1,7,18,12,15,95,78,10,10,11,3,260
170980 IPUEIRAS,-,-,-,-,-,1,-,-,-,-,-,-,1
171050 ITACAJA,-,-,1,1,1,2,2,3,-,-,-,-,10
171070 ITAGUATINS,-,-,2,-,3,3,7,2,-,-,-,-,17
171150 JAU DO TOCANTINS,-,-,-,-,6,1,3,4,-,1,-,-,15
171180 JUARINA,-,-,-,-,-,-,2,-,-,-,-,-,2
171190 LAGOA DA CONFUSAO,-,-,-,-,-,-,5,1,-,-,-,-,6
171195 LAGOA DO TOCANTINS,-,-,-,1,-,-,2,2,-,-,-,-,5
171215 LAVANDEIRA,-,-,-,-,-,1,1,1,-,-,-,-,3
171245 LUZINOPOLIS,-,-,-,-,1,-,-,2,1,-,-,-,4
171250 MARIANOPOLIS DO TOCANTINS,-,-,-,-,1,-,1,-,-,-,-,-,2
171270 MATEIROS,-,-,1,-,1,-,1,-,-,1,-,-,4
171280 MAURILANDIA DO TOCANTINS,-,-,-,-,-,1,-,1,-,-,-,-,2
171320 MIRACEMA DO TOCANTINS,-,-,-,2,1,-,3,3,-,-,-,-,9
171330 MIRANORTE,-,-,-,2,-,1,4,3,1,-,-,1,12
171360 MONTE DO CARMO,-,-,-,-,-,2,6,5,1,1,-,-,15
171370 MONTE SANTO DO TOCANTINS,-,-,-,1,-,-,-,-,-,-,-,-,1
171380 PALMEIRAS DO TOCANTINS,-,-,-,-,-,1,1,2,-,-,-,-,4
171420 NATIVIDADE,-,-,1,1,-,3,5,2,-,-,-,-,12
171430 NAZARE,-,-,-,-,-,-,1,-,-,-,-,-,1
